user_id,Precision,Recall,F1
AFY5TVFOMVHGBPBTIJODYDQRZM5Q,0.0,0.0,0.0
AG3D6O4STAQKAY2UVGEUV46KN35Q,0.1,0.25,0.14285714285714285
AG4OGOFWXJZTQ2HKYIOCOY3KXF2Q,0.1,0.25,0.14285714285714285
AG5DWPD54QGSLWJ6QUFERLPNAX4Q,0.0,0.0,0.0
AG5HTSFRRE6NL3M5SGCUQBP7YSCA,0.0,0.0,0.0
AG6WSLLXZY52HSQUY5PRCXTCYQYQ,0.0,0.0,0.0
AGAKDNBHY2FKX7I4ACRGILU7QL7A,0.1,0.3333333333333333,0.15384615384615385
AGCRCU432TIF4J2EL7GBEWOIULGQ,0.0,0.0,0.0
AGCRWRS4RJYVGVKINV3VAR4CGDWA,0.0,0.0,0.0
AGDOVGWZKEQ3M6DA2GHV6WUZT5SA,0.0,0.0,0.0
AGEUXHN7U2Q26CM6TFOTW7GZXFXQ,0.0,0.0,0.0
AGGKMIGXUM3JRNVY7HZ3JHPJ7WTQ,0.1,0.5,0.16666666666666666
AGIC6PASSVB4T3KTZHK6ADD23GCA,0.0,0.0,0.0
AGKZVBLHK472MSGAAUABFRZL7SYQ,0.0,0.0,0.0
AGNONTMQDE5KLLDEEB57Z3C5WAEA,0.1,0.5,0.16666666666666666
AGO4OKG6KVBAAE52Q62JBKHRDFFQ,0.0,0.0,0.0
AGOARJLTS744KQC3BTKT5KQVOJUA,0.0,0.0,0.0
AGRVINWECNY7323CWFXZYYIZOFTQ,0.0,0.0,0.0
AGT7YYJVUC6ZHRKQHVUQZMDNLXEA,0.0,0.0,0.0
AGV3IEFANZCKECFGUM42MRH5FNOA,0.0,0.0,0.0
AGVIAQK2HQ47P7UVXHW2NBAEU7YQ,0.0,0.0,0.0
AGWIGDEMFIIUAOXYY2QATNBSUGHA,0.0,0.0,0.0
AGYHHIERNXKA6P5T7CZLXKVPT7IQ,0.1,0.25,0.14285714285714285
AGYYVPDD7YG7FYNBXNGXZJT525AQ,0.0,0.0,0.0
AH2347WTE3DZ3TIZUB5LCLZPAYEQ,0.0,0.0,0.0
AH2WGV2PEBUTICRPBEEVKF24G5LA,0.0,0.0,0.0
AH4QT33M55677I7ISQOAKEQWACYQ,0.0,0.0,0.0
AH4TEK5IQCC2BSF2KSQNKQEXAPLA,0.1,0.5,0.16666666666666666
AH725ST5NW2Y4JZPKUNTIJCUK2BA,0.0,0.0,0.0
AH77IQRYD54XCRMCO7XEAIAYCLPA,0.1,0.3333333333333333,0.15384615384615385
AHBAT6VLOXWGYDL57KHCNCLPXAKA,0.0,0.0,0.0
AHCTC6ULH4XB6YHDY6PCH2R772LQ,0.1,0.25,0.14285714285714285
AHCWRQHRUAVMTMUH5NYNB3P4NWEA,0.0,0.0,0.0
AHDIDVECFGA6OQRNUBPUO6366UGQ,0.0,0.0,0.0
AHFAAPSY2MJ5HYOU2VQDJ7AQY4NQ,0.0,0.0,0.0
AHGJ2DNFP3OJWO73XW2R7TDXI7WA,0.1,0.5,0.16666666666666666
AHHQEKUNVETALN7DTRHUQ2WAWEKQ,0.0,0.0,0.0
AHIH3QL5XONYJWEXF7VKLFHZBDJA,0.0,0.0,0.0
AHIKJUDTVJ4T6DV6IUGFYZ5LXMPA,0.1,0.3333333333333333,0.15384615384615385
AHIWNZ2HBQAHVE4OWODM6WH4PMOQ,0.1,0.3333333333333333,0.15384615384615385
AHJSNMHQQWE6LMFRATH5LLJBQQXQ,0.0,0.0,0.0
AHMGAC6QM62UXNEOCZIHLHSXPP2Q,0.1,0.3333333333333333,0.15384615384615385
AHMY5CWJMMK5BJRBBSNLYT3ONILA,0.1,0.25,0.14285714285714285
AHOJBIZVVIIFJKRREY4B6ESVA4KA,0.0,0.0,0.0
AHONIZU3ICIEHQIGQ6R2VFRSBXOQ,0.0,0.0,0.0
AHPAW24BI5X2GCX5M2LHI72VSJJQ,0.0,0.0,0.0
AHV3TXIFCJPMS4D5JATCEUR266MQ,0.0,0.0,0.0
AHWVEHR5DYLVFTO2KF3IZATFQSWQ,0.0,0.0,0.0
AHYXZVXUY3QTBP7IBFIUBSZVH2XQ,0.0,0.0,0.0
